field,value,frequency
1.1,1,266
1.5,0,15
1.5,1,251
2.1,0,266
2.2,NA,266
2.4,NA,266
2.5,NA,266
2.6,NA,266
3.1,1,266
3.2,0,266
3.3,1,266
3.5,0,266
6.1,1,266
6.3,1,266
6.5,1,266
7.1,1,266
7.3,1,26
7.3,NA,240
7.4,1,266
7.5,1,26
7.5,NA,240
7.8,0,26
7.8,NA,240
file,UB_W-rzburg_Texte.xml,266
